method;sudoku;visited;time;solve_calls;infeasible_count;feasible_values_calls
random;-2--7----9--2--8----69-----6---2-9-78-5--4-1------5-----264-3--568-------9-----7-;55;0,15371700000014243;58;3;0
random;-----1-79-----95---82---1-6-----5----9-6---4---7---2-52------1-6312--4-----7-4---;50;0,11286000000018248;52;2;0
random;--8---35------3---1--2----4------98----7----5--941--6--4----7-------51298-29--5--;44;0,09882799999968483;44;0;0
random;-6-3-9--5-58---4-1------------7--1-4-----2-7-2-7--5-6-1---8---78-----9--3--1--6--;62;0,14957500000036816;62;0;0
random;45----------5---36-682----1--1-------8-6---------52----3---79-85---1964--9-----2-;41;0,10021000000006097;41;0;0
random;8---5-----------976-----3-13----1------6-5----2789------12--4-5---56-7----4--82--;47;0,10903300000018135;48;1;0
random;------36-43-1------7--58-4-2---8---664------2-----5-9-5---1-----83-2--7-----9-8--;1067;2,9567120000001523;1068;1;0
random;6-43----9-1---54-6-----1---1-----3-73----9--2----1------1--8-6---6---7959---3----;53;0,1331729999997151;55;2;0
random;43------5-9-24763--7----1-------8-4--58--6-------2-3--9----5--11--------------297;48;0,12126099999977669;49;1;0
random;-3------8---6-2---1-5-------513---9--9-----5---3--8--7-8------6---5--9-22-6---785;54;0,14390300000013667;55;1;0
random;687--32-----9---8--21-7--5--5-21------8----64-6----9--------6--81-4---------9---1;44;0,11212199999999939;44;0;0
random;4---3----562----4---87------23----8-----7-5-1---26---3---5--6--1----38--93------5;51;0,12878100000034465;53;2;0
random;-----8-7142-63----------6---92-1-4--------5--7--3---1-14--698---5--2----------79-;44;0,10887800000000425;45;1;0
random;----3-----739---8-85--14----2---9-1--------35--9--87------2--5-1-------97-5--1--4;1077;2,7709130000002915;1080;3;0
random;-----2-4----8-6-93-139--7--42-37------6--------------7------4--1----897--4-2--83-;1206;3,046349000000191;1206;0;0
random;---9--6-8-69---------73---4-2---3--77---2-8--53--7-4--2---------94--1-6---5-8----;72;0,1795500000002903;72;0;0
random;----41--58--79--6--1--85--9---4--8---6-9------3--7--1-3-2--4----------4-98--3----;95;0,2593019999999342;95;0;0
random;9---6------4-2--78--28-4-----7-95------2------4--8-2-38---7164------------93-8---;49;0,12147700000014083;53;4;0
random;9---1--62--7-----4---9--8----9--5----4--93--87--1----3-7----1----3-46-----4---2-7;58;0,14213000000017928;58;0;0
random;-5----------9-4--2--6---5-3----9---5-3---5--7-8437------1---7-8-9-4--1--84---1---;1089;2,703577999999652;1091;2;0
random;---97---47--8-----3-91-2-----7--5-3--86-9--5-4-------9---4---612------73------8--;58;0,14793199999985518;59;1;0
random;--9---63--1---------3--982-3----4--76---5--12--------8--6-831-5--79-----4---2----;61;0,159172000000126;62;1;0
random;3-8----------3---8--429-----169--28------------278-63--9-3----7------1--6-1-52---;90;0,23752699999977267;92;2;0
random;--45----------6---72--8----4----53--879---5----59-4-6--47-2-----------1--6---17-3;2148;5,80150999999978;2148;0;0
random;-3--------62-9---7--5---39---81-65--5-3----8--9--5--71-7-----5-------7--4---21---;55;0,13754000000017186;56;1;0
random;-6----894--3-------5--6--------3-1--92-8-15---3--7----6-------7--17---85---2--64-;55;0,13603499999999258;55;0;0
random;--3---4-----9-7352---6------7-2----5-----9----4-7---1-615----2-7----893-------56-;70;0,1774449999998069;71;1;0
random;2--4--5---51-----------94-31---------8-----34--5---829-4-6--------58-6-2-7--4--8-;91;0,22571500000003653;91;0;0
random;---85--6-----369----2----4----6--8--87-2----6--------3------4---49---781218--7---;81;0,20583600000009028;81;0;0
random;8----9-459-2----1---13-52----------223-6----1-----8------------4-8-91-23----8-5--;64;0,15156600000000253;65;1;0
random;----6----7-----2-3--542---61---8---9-7---3--4-4-----5-81-74---232--9----------1--;62;0,1511319999999614;64;2;0
random;--9-14---1----7------3---25-4-----93--8-2--7-7---6--489--1-----5-6-----9-2--9----;1116;3,2252690000000257;1117;1;0
random;4-5-6-3----6-3--4---7---------8---7-5-12-7----4-6--9-----5---------8--1439----82-;95;0,24259399999982634;96;1;0
random;8----4--34--38-27----1-------5----26--72----------94---1--95-4--------1----4--857;1071;2,69505799999979;1072;1;0
random;--2-----4-----3-671--4--2---9-2------21-5-38-4-------6------64--6--9---335------1;58;0,1513089999998556;60;2;0
random;----4---2--8-1------45--89-----517--4-7------3-2-7-5-8-7---3-----9-68---8-----3--;1083;2,7396759999996902;1084;1;0
random;93-----8-------567--1-5-34-7--------5----1-----36-72------4------81-5----52--3-1-;1063;2,7362370000000737;1064;1;0
random;1-7-9--8--5---73-2-8---4----64---7------5-----2---8-----391--2-----3--5-61-----9-;38;0,09195900000031543;38;0;0
random;--74-5---3--7-8--1-2----76---4------26-8-----8-921---4-----9---14------2------17-;1101;2,9846330000000307;1101;0;0
random;---1------7-28-5---58---72-4------56----9---36-2--8--17-------5---86-4-----3---6-;1070;2,8251500000001215;1073;3;0
random;----8-9----5--724----3----79--621-----------423-4--6---5---9-----9-7----4-8---3-9;1079;2,770473000000038;1082;3;0
random;--9------3--629-5-1-----8----1--4-8-6---3-9--78-------4-21------9-8---1------372-;73;0,18268600000010338;73;0;0
random;-------8-47-----1-9-1---35--19-----67---3---1--2-5-7--2-------9-6891-------37----;63;0,16287599999986924;63;0;0
random;------7---6-1------81-72-9------8----29-3---66---413----------22-8--9----74-6---1;49;0,11810400000013033;51;2;0
random;-42-6--1--1---5-3---3----856---4---71--8---9---7---------4----8-6-2---------83-61;1070;2,761090999999851;1072;2;0
random;-978----3--8-912------2---9-36-78----------5--------7-5-----1-88--61-9----3--5---;48;0,11654899999984991;51;3;0
random;-2--41-8--------923-----5----1--6--5--64----------8-17-6-----31-3-19------8-37---;2098;5,465193999999883;2098;0;0
random;36---5-1---9--6---17----2-4----7-----4----1-5-----1-93---1-3-----8--2---51--9-8--;40;0,09333999999989828;44;4;0
random;-4--6---9--5-14--8371------6-3-7-----8-------71---8--5---68-7-2------5-----35----;1097;3,3102249999997184;1100;3;0
random;---9---------86-3-------7---64----9-57------8-8-643--5-16-35-8------------827---4;1092;2,744882000000416;1093;1;0
random;-495---2--2----9--57----3------2---4---------9----617-4---8---36-19--------73--15;2086;5,489028999999846;2088;2;0
random_rev;--9----6114--6-----86-7-2--3-27--5------2---8----5-3---7-----82--8-42------1-----;898;3,649283000000196;437;0;461
random_rev;------4--87349---12----7--69-46--35----57---------39--3-295-------2----------8---;28;16,602600000000166;2;0;26
random_rev;--2----------64------5-1-4-7-59---2--6----5-3143-2---7----4-91----3--7----4-----2;142;0,5973280000002887;59;0;83
random_rev;----8---47----61----8-23----5-7---1-------72----34---91-----39--4-2----5-2--7-8--;106;0,43820099999993545;41;0;65
random_rev;-3---------5-32--7---16----8-2--34-5--------94------1--5-9--671---5-7-8-1-----5--;1258;37,480271999999786;617;0;641
random_rev;-9--83--54-8--21-----7--4------37---937-6---4----2-------2-5---2----17--------9-3;984;4,4677700000002005;480;0;504
random_rev;---4--3--1---7--85-2-1---6---983----2--7---------69---73-9--2------2-4-7----1-6--;174;0,6952750000000378;75;0;99
random_rev;2--8-9----3---72----------99-52384----8-----3--------7----86----2--513--6---9--1-;544;2,1264569999998457;260;0;284
random_rev;-5--------936175---86----7-5---4--3------5-----72---5-9-1-3----8----4-------5-9-1;1598;6,3042310000000725;787;0;811
random_rev;--58-2-1---8--4---2---5--3-7-21------------45--3-6-2--5---28---9------6-----47--8;34;0,18014199999970515;5;0;29
random_rev;14------95-2-9--4-----8-6-----15-4---------2---8--7-61----36----25-1---87----8---;404;1,7937889999998333;190;0;214
random_rev;1---86-------2----52-----766------5--14--76-----1----2-------23--5--2-4--9387----;748;2,7633860000000823;362;0;386
random_rev;-1--3---5-----92---62---9-8------5------43---45-----79--58-----8---1-3--2--36--5-;3420;13,680996999999934;1698;0;1722
random_rev;-7------8---------5--12--3--3--758-9--13--6---------27-6---2---4----3-6529--8----;26;0,15510399999993751;1;0;25
random_rev;1----------7--12-6---65--81--1--6---3--7------2----8-------8----3-92-41-2-4-6---5;1994;7,477931999999782;985;0;1009
random_rev;47-----6----9---748-3------1-4--5---5---1-6--7-94-6-1--8-15-------7----9------2--;6142;24,040569000000232;3059;0;3083
random_rev;12---69------7--284-73-----8----43-2-315--------------9------1--4---3-----27--58-;1716;6,370265999999901;846;0;870
random_rev;9-2--857--3--2--6-----3----6--8-73-4--3---6-------2-----64--98--------327---1----;478;1,700127000000066;227;0;251
random_rev;-4--6-98--78----63-----94----9-------2-3----7-------5-3----27-----64-2--5---3-8-9;48;0,22752200000013545;12;0;36
random_rev;8--6---3---34-81--29------4---1-7--5-------2---8--5----2--7---86-9-----1--4-1---6;1498;5,918950000000223;737;0;761
random_rev;2----1--5----7-132----6-8--9--42----4-8-------5-9------8-1-6----2--43-----32--4--;922;3,3809100000003127;449;0;473
random_rev;--1-4--------798-36--5----97---2--56----8-2----------1--349-7--9---1---8----6--3-;282;18,416889000000083;129;0;153
random_rev;91-7-3-2--2-----9-8---4---7-69---751----5-4-----6-----7-51---------8-3-9-----6---;1922;7,064824999999928;949;0;973
random_rev;4-6-1-------5-8-2-5-----683----7------8---9673-7-----2-------15--4--5---9----3--6;2062;7,969357999999829;1019;0;1043
random_rev;---7-534---54-2-----7---2---5---------6-9-7--8-------1--12------3--6----5-2-7-968;538;2,025967000000037;257;0;281
random_rev;-2----6-1-7---24----9-5-3-23--2-5---2---3------61-7----824------------1-----96--7;232;0,9133310000001984;104;0;128
random_rev;-------73-7438----3291---4---1-----2---7---3-4---5---8-6--------5-2-4-9-7-2------;26;0,3145840000001954;1;0;25
random_rev;8--1-------9--8----3-5-2--9-7----5--9------6--23--7-4---8--5-----7--36--45--2--1-;56;0,2848380000000361;16;0;40
random_rev;-7-8--6----493----31---5----------4--2----9618-----7-27----25-----4-----15--9---8;204;0,8183539999999994;90;0;114
random_rev;-8473-1---5-8---2----2--3---19--6----7-14--5-------6-------54---------8-1-342----;1760;6,960802000000058;868;0;892
